IP,  40000,C,18385,0.001000
IP,  40500,C,17985,0.001000
IP,  41000,C,17587,0.001000
IP,  41500,C,17191,0.001000
IP,  42000,C,16795,0.001000
IP,  42500,C,16401,0.001000
IP,  43000,C,16009,0.001000
IP,  43500,C,15618,0.001000
IP,  44000,C,15228,0.202786
IP,  44500,C,14840,0.227226
IP,  45000,C,14454,0.242106
IP,  45500,C,14068,0.252635
IP,  46000,C,13685,0.260628
IP,  46500,C,13303,0.266716
IP,  47000,C,12922,0.271371
IP,  47500,C,12543,0.275003
IP,  48000,C,12166,0.277688
IP,  48500,C,11790,0.279571
IP,  49000,C,11416,0.280856
IP,  49500,C,11044,0.281522
IP,  50000,C,10673,0.281721
IP,  50500,C,10304,0.281495
IP,  51000,C,9937,0.280875
IP,  51500,C,9572,0.279808
IP,  52000,C,9208,0.278476
IP,  52500,C,8847,0.276739
IP,  53000,C,8487,0.274686
IP,  53500,C,8129,0.272398
IP,  54000,C,7774,0.269806
IP,  54500,C,7420,0.266981
IP,  55000,C,7068,0.263852
IP,  55500,C,6720,0.260484
IP,  56000,C,6373,0.256936
IP,  56500,C,6029,0.253063
IP,  57000,C,5688,0.248984
IP,  57500,C,5349,0.244683
IP,  58000,C,5013,0.240075
IP,  58500,C,4681,0.235329
IP,  59000,C,4353,0.230352
IP,  59500,C,4029,0.225110
IP,  60000,C,3710,0.219696
IP,  60500,C,3395,0.214066
IP,  61000,C,3088,0.208236
IP,  61500,C,2791,0.202429
IP,  62000,C,2505,0.196599
IP,  62500,C,2231,0.190848
IP,  63000,C,1974,0.185220
IP,  63500,C,1754,0.181119
IP,  64000,C,1576,0.178892
IP,  64500,C,1449,0.179260
IP,  65000,C,1380,0.182948
IP,  65500,C,1345,0.188484
IP,  66000,C,1312,0.194030
IP,  66500,C,1281,0.199402
IP,  67000,C,1251,0.204608
IP,  67500,C,1222,0.209762
IP,  68000,C,1194,0.214657
IP,  68500,C,1167,0.219516
IP,  69000,C,1140,0.224236
IP,  69500,C,1115,0.228821
IP,  70000,C,1091,0.233395
IP,  40000,F,21685,0.001000
IP,  40500,F,21315,0.001000
IP,  41000,F,20946,0.001000
IP,  41500,F,20578,0.001000
IP,  42000,F,20211,0.001000
IP,  42500,F,19845,0.001000
IP,  43000,F,19481,0.001000
IP,  43500,F,19117,0.001000
IP,  44000,F,18755,0.001000
IP,  44500,F,18393,0.001000
IP,  45000,F,18033,0.001000
IP,  45500,F,17674,0.001000
IP,  46000,F,17316,0.197904
IP,  46500,F,16959,0.213839
IP,  47000,F,16603,0.225328
IP,  47500,F,16248,0.234198
IP,  48000,F,15895,0.241288
IP,  48500,F,15542,0.246964
IP,  49000,F,15191,0.251715
IP,  49500,F,14840,0.255546
IP,  50000,F,14491,0.258689
IP,  50500,F,14143,0.261242
IP,  51000,F,13796,0.263282
IP,  51500,F,13451,0.264869
IP,  52000,F,13106,0.265980
IP,  52500,F,12763,0.266794
IP,  53000,F,12421,0.267335
IP,  53500,F,12080,0.267498
IP,  54000,F,11741,0.267371
IP,  54500,F,11402,0.267031
IP,  55000,F,11065,0.266432
IP,  55500,F,10730,0.265585
IP,  56000,F,10396,0.264615
IP,  56500,F,10064,0.263356
IP,  57000,F,9733,0.261984
IP,  57500,F,9404,0.260391
IP,  58000,F,9076,0.258635
IP,  58500,F,8750,0.256716
IP,  59000,F,8426,0.254635
IP,  59500,F,8105,0.252443
IP,  60000,F,7785,0.250086
IP,  60500,F,7467,0.247611
IP,  61000,F,7152,0.244964
IP,  61500,F,6840,0.242293
IP,  62000,F,6531,0.239488
IP,  62500,F,6224,0.236543
IP,  63000,F,5921,0.233500
IP,  63500,F,5624,0.230455
IP,  64000,F,5331,0.227345
IP,  64500,F,5043,0.224215
IP,  65000,F,4760,0.221002
IP,  65500,F,4488,0.218017
IP,  66000,F,4224,0.215044
IP,  66500,F,3970,0.212245
IP,  67000,F,3731,0.209793
